,id,r_week,r_2months,r_6months,interviewer
146,10282,0.0,0.0,0.0,Pati
147,20283,0.0,0.0,0.0,Pati
148,40284,1.0,1.0,0.0,Susana
149,30303,1.0,1.0,0.0,Javiera
150,10285,1.0,1.0,0.0,Javiera
151,20286,1.0,1.0,0.0,Pati
152,40287,1.0,1.0,0.0,Susana
153,10288,1.0,1.0,0.0,Pati
154,20289,0.0,0.0,0.0,Pati
155,10291,0.0,1.0,0.0,Marisol
156,10293,0.0,1.0,0.0,Susana
157,20298,1.0,0.0,0.0,Pati
158,40297,1.0,1.0,0.0,Susana
159,40299,0.0,1.0,0.0,Susana
160,30300,1.0,1.0,0.0,Javiera
161,30301,0.0,0.0,0.0,Javiera
162,30001,1.0,1.0,1.0,Javiera
163,40002,1.0,1.0,1.0,Susana
164,20004,1.0,1.0,1.0,Pati
165,40006,0.0,1.0,1.0,Susana
166,10007,1.0,1.0,1.0,Javiera
167,20008,1.0,1.0,1.0,Pati
168,40010,1.0,1.0,1.0,Susana
169,40012,1.0,1.0,1.0,Susana
170,20013,1.0,0.0,1.0,Pati
171,10015,0.0,1.0,0.0,Pati
172,10016,0.0,0.0,0.0,Javiera
173,20017,1.0,1.0,1.0,Pati
174,20020,0.0,0.0,0.0,Pati
175,30021,1.0,1.0,1.0,Javiera
176,40022,1.0,1.0,1.0,Susana
177,40026,1.0,1.0,1.0,Susana
178,20028,0.0,0.0,0.0,Pati
179,40030,1.0,1.0,1.0,Susana
180,20032,1.0,1.0,1.0,Pati
181,20041,1.0,1.0,1.0,Pati
182,40045,1.0,1.0,1.0,Susana
183,40046,1.0,1.0,1.0,Susana
184,20048,1.0,1.0,1.0,Pati
185,40050,1.0,1.0,1.0,Susana
186,20058,1.0,1.0,1.0,Pati
187,40059,1.0,1.0,1.0,Susana
188,20061,1.0,1.0,1.0,Pati
189,10119,1.0,1.0,0.0,Pati
190,40065,1.0,1.0,1.0,Susana
191,40066,1.0,1.0,1.0,Susana
192,40068,1.0,1.0,1.0,Susana
193,20071,1.0,1.0,1.0,Pati
194,20081,1.0,1.0,0.0,Pati
195,50049,1.0,1.0,1.0,Marcela
196,40084,1.0,1.0,1.0,Susana
197,40090,1.0,1.0,1.0,Susana
198,40091,1.0,1.0,1.0,Susana
199,20112,0.0,1.0,1.0,Pati
200,40106,1.0,1.0,1.0,Susana
201,40108,1.0,1.0,1.0,Susana
202,40113,1.0,1.0,1.0,Susana
203,20120,0.0,0.0,0.0,Pati
204,20142,1.0,0.0,0.0,Pati
205,20161,1.0,1.0,1.0,Pati
206,50209,1.0,0.0,0.0,Marcela
207,50214,1.0,0.0,1.0,Marcela
208,50216,1.0,1.0,0.0,Marcela
209,20219,1.0,1.0,1.0,Pati
210,20224,1.0,1.0,0.0,Pati
211,50226,0.0,1.0,0.0,Marcela
212,50230,1.0,0.0,0.0,Marcela
213,40235,0.0,0.0,0.0,Susana
214,50236,1.0,1.0,0.0,Marcela
215,20147,1.0,1.0,1.0,Pati
216,40152,1.0,1.0,1.0,Susana
217,10003,1.0,1.0,1.0,Susana
218,40156,1.0,1.0,1.0,Susana
219,20157,1.0,1.0,1.0,Pati
220,40194,1.0,1.0,1.0,Susana
221,20195,1.0,1.0,1.0,Pati
222,20198,1.0,1.0,1.0,Pati
223,40166,1.0,1.0,1.0,Susana
224,40199,1.0,1.0,1.0,Susana
